name,price,condition,brand,model,memory,powerPerformance,category,performance_score
GIGABYTE NVIDIA GeForce RTX 3070 8 GB,335,Pre-Owned,GIGABYTE,GeForce RTX 3070,8,100.42,Desktop,15891.5
GIGABYTE NVIDIA GeForce RTX 3060 Ti 8 GB,207.5,Pre-Owned,GIGABYTE,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
ZOTAC NVIDIA GeForce RTX 3080 10 GB,574,Open Box,ZOTAC,GeForce RTX 3080,10,77.66,Desktop,17441.5
MSI NVIDIA GeForce RTX 2060 6 GB,148.99,Pre-Owned,MSI,GeForce RTX 2060,6,87.2,Desktop,10736.5
ASUS NVIDIA GeForce GTX 1660 6 GB,89,Pre-Owned,ASUS,GeForce GTX 1660,6,97.46,Desktop,9827.5
ASUS NVIDIA GeForce GTX 1660 6 GB,85,Pre-Owned,ASUS,GeForce GTX 1660,6,97.46,Desktop,9827.5
GIGABYTE NVIDIA GeForce RTX 3060 Ti 8 GB,212.5,Pre-Owned,GIGABYTE,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
ZOTAC NVIDIA GeForce RTX 3060 12 GB,217.5,Pre-Owned,ZOTAC,GeForce RTX 3060,12,99.76,Desktop,13234
ASUS NVIDIA GeForce GTX 1660 6 GB,117.5,Pre-Owned,ASUS,GeForce GTX 1660,6,97.46,Desktop,9827.5
MSI NVIDIA GeForce RTX 3070 8 GB,255,Open Box,MSI,GeForce RTX 3070,8,100.42,Desktop,15891.5
MSI NVIDIA GeForce RTX 3070 Ti 8 GB,570,Open Box,MSI,GeForce RTX 3070 Ti,8,80.58,Desktop,16698.5
NVIDIA NVIDIA GeForce RTX 3070 Ti 8 GB,380,Pre-Owned,NVIDIA,GeForce RTX 3070 Ti,8,80.58,Desktop,16698.5
EVGA NVIDIA GeForce GTX 1060 6 GB,57,Open Box,EVGA,GeForce GTX 1060,6,83.92,Desktop,8845
ZOTAC NVIDIA GeForce GTX 1660 6 GB,71,Pre-Owned,ZOTAC,GeForce GTX 1660,6,97.46,Desktop,9827.5
NVIDIA NVIDIA GeForce RTX 3060 Ti 12 GB,250,Pre-Owned,NVIDIA,GeForce RTX 3060 Ti,12,101.03,Desktop,14908
GIGABYTE AMD Radeon RX 6800 XT 16 GB,410,Pre-Owned,GIGABYTE,Radeon RX 6800 XT,16,77.88,Desktop,17072
ASUS NVIDIA GeForce RTX 2080 8 GB,234.5,Pre-Owned,ASUS,GeForce RTX 2080,8,74.93,Desktop,13951
NVIDIA NVIDIA GeForce GTX 1080 8 GB,110,Pre-Owned,NVIDIA,GeForce GTX 1080,8,84.8,Desktop,12082.5
NVIDIA NVIDIA GeForce RTX 3060 12 GB,208,Pre-Owned,NVIDIA,GeForce RTX 3060,12,99.76,Desktop,13234
NVIDIA NVIDIA GeForce RTX 3070 8 GB,295,Pre-Owned,NVIDIA,GeForce RTX 3070,8,100.42,Desktop,15891.5
EVGA NVIDIA GeForce GTX 1070 8 GB,67,Pre-Owned,EVGA,GeForce GTX 1070,8,89.88,Desktop,11026
MSI NVIDIA GeForce RTX 3070 Ti 8 GB,339,Pre-Owned,MSI,GeForce RTX 3070 Ti,8,80.58,Desktop,16698.5
ASUS NVIDIA GeForce GTX 1660 6 GB,82,Pre-Owned,ASUS,GeForce GTX 1660,6,97.46,Desktop,9827.5
EVGA NVIDIA GeForce GTX 1050 Ti 4 GB,65,Pre-Owned,EVGA,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
XFX AMD Radeon RX 5700 XT 8 GB,115.25,Pre-Owned,XFX,Radeon RX 5700 XT,8,75.08,Desktop,13221
ASUS NVIDIA GeForce RTX 3060 Ti 8 GB,285,Pre-Owned,ASUS,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
ASUS NVIDIA GeForce RTX 2060 SUPER 8 GB,121.5,Pre-Owned,ASUS,GeForce RTX 2060 SUPER,8,94.37,Desktop,12662
ASUS AMD Radeon RX 5700 XT 8 GB,120.5,Pre-Owned,ASUS,Radeon RX 5700 XT,8,75.08,Desktop,13221
XFX AMD Radeon RX 5700 XT 8 GB,115.25,Pre-Owned,XFX,Radeon RX 5700 XT,8,75.08,Desktop,13221
XFX AMD Radeon RX 6800 16 GB,350,Pre-Owned,XFX,Radeon RX 6800,16,82.67,Desktop,15483.5
MSI NVIDIA GeForce GTX 1050 Ti 4 GB,50,Pre-Owned,MSI,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
EVGA NVIDIA GeForce RTX 3070 Ti 8 GB,349,Pre-Owned,EVGA,GeForce RTX 3070 Ti,8,80.58,Desktop,16698.5
GIGABYTE NVIDIA GeForce GTX 1060 6 GB,80.99,Pre-Owned,GIGABYTE,GeForce GTX 1060,6,83.92,Desktop,8845
ZOTAC NVIDIA GeForce RTX 3060 12 GB,265,Open Box,ZOTAC,GeForce RTX 3060,12,99.76,Desktop,13234
ASUS NVIDIA GeForce GTX 1080 8 GB,150,Pre-Owned,ASUS,GeForce GTX 1080,8,84.8,Desktop,12082.5
ZOTAC NVIDIA GeForce RTX 3060 12 GB,254.99,Pre-Owned,ZOTAC,GeForce RTX 3060,12,99.76,Desktop,13234
ASUS NVIDIA GeForce RTX 3070 8 GB,379,Pre-Owned,ASUS,GeForce RTX 3070,8,100.42,Desktop,15891.5
MSI NVIDIA GeForce GTX 1070 8 GB,66.5,Pre-Owned,MSI,GeForce GTX 1070,8,89.88,Desktop,11026
EVGA NVIDIA GeForce RTX 3080 10 GB,385,Pre-Owned,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
NVIDIA NVIDIA GeForce GTX 1080 8 GB,124.99,Pre-Owned,NVIDIA,GeForce GTX 1080,8,84.8,Desktop,12082.5
EVGA NVIDIA GeForce RTX 3070 8 GB,270,Pre-Owned,EVGA,GeForce RTX 3070,8,100.42,Desktop,15891.5
SAPPHIRE AMD Radeon RX 6900 XT 16 GB,619,Pre-Owned,SAPPHIRE,Radeon RX 6900 XT,16,84.86,Desktop,18239
NVIDIA NVIDIA GeForce RTX 3080 12 GB,619,Pre-Owned,NVIDIA,GeForce RTX 3080,12,77.66,Desktop,17441.5
EVGA NVIDIA GeForce RTX 3060 Ti 8 GB,232.5,Open Box,EVGA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce GTX 1070 8 GB,74,Pre-Owned,EVGA,GeForce GTX 1070,8,89.88,Desktop,11026
GIGABYTE NVIDIA GeForce RTX 3070 8 GB,439.99,Open Box,GIGABYTE,GeForce RTX 3070,8,100.42,Desktop,15891.5
GIGABYTE NVIDIA GeForce RTX 3060 12 GB,215,Pre-Owned,GIGABYTE,GeForce RTX 3060,12,99.76,Desktop,13234
MSI AMD Radeon RX 5700 XT 8 GB,100,Open Box,MSI,Radeon RX 5700 XT,8,75.08,Desktop,13221
